model_id,task,metric,value,checkpoint_step,split
emotion,emotion,accuracy,0.8882932936849519,6392,val
emotion,emotion,calibration_error,0.017030782035868507,6392,val
emotion,emotion,f1,0.8201758871775962,9588,val
emotion,emotion,accuracy,0.9101259879489788,9588,val
emotion,emotion,calibration_error,0.013726355028491346,9588,val
emotion,emotion,f1,0.8485606550205272,12784,val
emotion,emotion,accuracy,0.9226856561546287,12784,val
emotion,emotion,calibration_error,0.011915856269874582,12784,val
emotion,emotion,f1,0.8625452234244538,15980,val
emotion,emotion,accuracy,0.9265200719931137,15980,val
emotion,emotion,calibration_error,0.01130405708228699,15980,val
emotion,emotion,f1,0.85687878093212,19176,val
emotion,emotion,accuracy,0.9244854839971829,19176,val
emotion,emotion,calibration_error,0.011745121612873393,19176,val
emotion,emotion,f1,0.8604877856858658,22372,val
emotion,emotion,accuracy,0.9258940449174426,22372,val
emotion,emotion,calibration_error,0.011770020417019399,22372,val
emotion,emotion,f1,0.8666455109583441,25568,val
emotion,emotion,accuracy,0.9252680178417717,25568,val
emotion,emotion,calibration_error,0.011812704081269696,25568,val
emotion,emotion,f1,0.8602466812852204,28764,val
emotion,emotion,accuracy,0.9275764926833086,28764,val
emotion,emotion,calibration_error,0.01141788018695445,28764,val
emotion,emotion,f1,0.8653066467319704,31960,val
emotion,emotion,accuracy,0.9280851396822912,31960,val
emotion,emotion,calibration_error,0.0113965383548293,31960,val
epistemic,epistemic,f1,0.7131743808415351,1348,val
epistemic,epistemic,calibration_error,0.3461578387301415,1348,val
epistemic,epistemic,f1,0.7983029321046259,2696,val
epistemic,epistemic,calibration_error,0.2943820487580524,2696,val
epistemic,epistemic,f1,0.7957979069714319,4044,val
epistemic,epistemic,calibration_error,0.3940866450190697,4044,val
unified_cold,political,f1,0.6286,38351,val
unified_cold,epistemic,f1,0.6262786014909046,38351,val
unified_cold,emotion,f1,0.06403852286704476,38351,val
unified_cold,political,f1,0.6334,76703,val
unified_cold,epistemic,f1,0.6541690239190779,76703,val
unified_cold,emotion,f1,0.12804200338117025,76703,val
unified_cold,political,f1,0.6428,115055,val
unified_cold,epistemic,f1,0.6415972307414418,115055,val
unified_cold,emotion,f1,0.20916996349771502,115055,val
unified_cold,political,f1,0.6397,153407,val
unified_cold,epistemic,f1,0.6212285088439907,153407,val
unified_cold,emotion,f1,0.3170911293069834,153407,val
unified_cold,political,f1,0.6508,191759,val
unified_cold,epistemic,f1,0.6117121188140221,191759,val
unified_cold,emotion,f1,0.4189010456743519,191759,val
unified_cold,political,f1,0.6571,230111,val
unified_cold,epistemic,f1,0.6234886523868295,230111,val
unified_cold,emotion,f1,0.4935481639102909,230111,val
unified_cold,political,f1,0.6618,268463,val
unified_cold,epistemic,f1,0.6234064647907461,268463,val
unified_cold,emotion,f1,0.5339012841455105,268463,val
unified_cold,political,f1,0.64,306815,val
unified_cold,epistemic,f1,0.6311487330910883,306815,val
unified_cold,emotion,f1,0.5568410225317032,306815,val
unified_warm,political,f1,0.6708,38351,val
unified_warm,epistemic,f1,0.5771132078174008,38351,val
unified_warm,emotion,f1,0.035755399318136726,38351,val
unified_warm,political,f1,0.7092,76703,val
unified_warm,epistemic,f1,0.6133210974989391,76703,val
unified_warm,emotion,f1,0.06825970025499925,76703,val
unified_warm,political,f1,0.7109,115055,val
unified_warm,epistemic,f1,0.6031846457056774,115055,val
unified_warm,emotion,f1,0.13906153543743183,115055,val
unified_warm,political,f1,0.7156,153407,val
unified_warm,epistemic,f1,0.615460034833108,153407,val
unified_warm,emotion,f1,0.16914740113257729,153407,val
unified_warm,political,f1,0.7081,191759,val
unified_warm,epistemic,f1,0.5995070996214913,191759,val
unified_warm,emotion,f1,0.19939927295890184,191759,val
unified_warm,political,f1,0.7059,230111,val
unified_warm,epistemic,f1,0.6178545150275675,230111,val
unified_warm,emotion,f1,0.24147858207935388,230111,val
unified_warm,political,f1,0.7104,268463,val
unified_warm,epistemic,f1,0.5876963285218558,268463,val
unified_warm,emotion,f1,0.3651148150673281,268463,val
unified_warm,political,f1,0.7249,306815,val
unified_warm,epistemic,f1,0.6084134818566461,306815,val
unified_warm,emotion,f1,0.4404176355105651,306815,val
unified_warm,political,f1,0.7239,345167,val
unified_warm,epistemic,f1,0.5941193344807802,345167,val
unified_warm,emotion,f1,0.5385208090891884,345167,val
unified_warm,political,f1,0.715,383519,val
unified_warm,epistemic,f1,0.5869402434735255,383519,val
unified_warm,emotion,f1,0.585525610881403,383519,val
unified_warm,political,f1,0.7028,421871,val
unified_warm,epistemic,f1,0.6124367951593507,421871,val
unified_warm,emotion,f1,0.612980703308015,421871,val
unified_warm,political,f1,0.7166,460223,val
unified_warm,epistemic,f1,0.6044827179754955,460223,val
unified_warm,emotion,f1,0.6365655149470145,460223,val
unified_warm,political,f1,0.7156,498575,val
unified_warm,epistemic,f1,0.6092789608304652,498575,val
unified_warm,emotion,f1,0.6550586708157837,498575,val
unified_warm,political,f1,0.7258,536927,val
unified_warm,epistemic,f1,0.6200121405638169,536927,val
unified_warm,emotion,f1,0.6771488731559842,536927,val
unified_warm,political,f1,0.7251,575279,val
unified_warm,epistemic,f1,0.6252640792312216,575279,val
unified_warm,emotion,f1,0.6890902032755271,575279,val
unified_warm,political,f1,0.7128,613631,val
unified_warm,epistemic,f1,0.6192998942455802,613631,val
unified_warm,emotion,f1,0.7002301516470021,613631,val
unified_warm,political,f1,0.7245,651983,val
unified_warm,epistemic,f1,0.6104151708461928,651983,val
unified_warm,emotion,f1,0.7050762134670966,651983,val
unified_warm,political,f1,0.7239,690335,val
unified_warm,epistemic,f1,0.6190739774468728,690335,val
unified_warm,emotion,f1,0.710673137604899,690335,val
unified_warm,political,f1,0.7261,728687,val
unified_warm,epistemic,f1,0.6201790955022592,728687,val
unified_warm,emotion,f1,0.714376866741588,728687,val
unified_warm,political,f1,0.7261,767039,val
unified_warm,epistemic,f1,0.6210824358268685,767039,val
unified_warm,emotion,f1,0.7154498668394519,767039,val
unified_reg,political,f1,0.669,76700,val
unified_reg,epistemic,f1,0.5806081934473118,76700,val
unified_reg,emotion,f1,0.022868756283203607,76700,val
unified_reg,political,f1,0.7235,153401,val
unified_reg,epistemic,f1,0.6313452078154981,153401,val
unified_reg,emotion,f1,0.07135144817591174,153401,val
unified_reg,political,f1,0.7179,230102,val
unified_reg,epistemic,f1,0.5920404856649678,230102,val
unified_reg,emotion,f1,0.10946481670493698,230102,val
unified_reg,political,f1,0.7137,306803,val
unified_reg,epistemic,f1,0.6247058121823845,306803,val
unified_reg,emotion,f1,0.13372036557367187,306803,val
unified_reg,political,f1,0.7121,383504,val
unified_reg,epistemic,f1,0.6370702421465508,383504,val
unified_reg,emotion,f1,0.1583765020444443,383504,val
unified_reg,political,f1,0.7148,460205,val
unified_reg,epistemic,f1,0.6272897407915391,460205,val
unified_reg,emotion,f1,0.19043707517741026,460205,val
unified_reg,political,f1,0.71,536906,val
unified_reg,epistemic,f1,0.6197851848401289,536906,val
unified_reg,emotion,f1,0.28708865480733636,536906,val
unified_reg,political,f1,0.7154,613607,val
unified_reg,epistemic,f1,0.6359684138418121,613607,val
unified_reg,emotion,f1,0.38135502970072016,613607,val
unified_reg,political,f1,0.7291,690308,val
unified_reg,epistemic,f1,0.6370829251748753,690308,val
unified_reg,emotion,f1,0.47987089249445397,690308,val
unified_reg,political,f1,0.7334,767009,val
unified_reg,epistemic,f1,0.624745702145106,767009,val
unified_reg,emotion,f1,0.551008458935627,767009,val
unified_reg,political,f1,0.7291,843710,val
unified_reg,epistemic,f1,0.639267655401289,843710,val
unified_reg,emotion,f1,0.5974780235529329,843710,val
unified_reg,political,f1,0.7377,920411,val
unified_reg,epistemic,f1,0.6400193798449613,920411,val
unified_reg,emotion,f1,0.6351488331425634,920411,val
unified_reg,political,f1,0.7334,997112,val
unified_reg,epistemic,f1,0.6277759878067793,997112,val
unified_reg,emotion,f1,0.6596848332685463,997112,val
unified_reg,political,f1,0.7251,1073813,val
unified_reg,epistemic,f1,0.6451465672302797,1073813,val
unified_reg,emotion,f1,0.6830504184110471,1073813,val
unified_reg,political,f1,0.73,1150514,val
unified_reg,epistemic,f1,0.6445272525027809,1150514,val
unified_reg,emotion,f1,0.7062768599345609,1150514,val
unified_reg,political,f1,0.7332,1227215,val
unified_reg,epistemic,f1,0.6463062630309039,1227215,val
unified_reg,emotion,f1,0.7202811537637234,1227215,val
unified_reg,political,f1,0.7353,1303916,val
unified_reg,epistemic,f1,0.6480632006350774,1303916,val
unified_reg,emotion,f1,0.727559311579138,1303916,val
unified_reg,political,f1,0.7376,1380617,val
unified_reg,epistemic,f1,0.6539644275155231,1380617,val
unified_reg,emotion,f1,0.7349315236962045,1380617,val
unified_reg,political,f1,0.7398,1457318,val
unified_reg,epistemic,f1,0.6419732208628384,1457318,val
unified_reg,emotion,f1,0.737716125101673,1457318,val
unified_reg,political,f1,0.7371,1534019,val
unified_reg,epistemic,f1,0.6495358162424031,1534019,val
unified_reg,emotion,f1,0.7431846067616749,1534019,val
unified_reg,political,f1,0.7265,1610720,val
unified_reg,epistemic,f1,0.6426458105801592,1610720,val
unified_reg,emotion,f1,0.7547870876924457,1610720,val
unified_reg,political,f1,0.7297,1687421,val
unified_reg,epistemic,f1,0.6395826203114272,1687421,val
unified_reg,emotion,f1,0.7590504351272362,1687421,val
unified_reg,political,f1,0.7358,1764122,val
unified_reg,epistemic,f1,0.6410156423717065,1764122,val
unified_reg,emotion,f1,0.7567715725970782,1764122,val
unified_reg,political,f1,0.7354,1840823,val
unified_reg,epistemic,f1,0.635243461358847,1840823,val
unified_reg,emotion,f1,0.7627560277851209,1840823,val
unified_reg,political,f1,0.7384,1917524,val
unified_reg,epistemic,f1,0.6381331168360882,1917524,val
unified_reg,emotion,f1,0.7654760797239213,1917524,val
unified_difflr,political,f1,0.6749,38351,val
unified_difflr,epistemic,f1,0.5773118581639979,38351,val
unified_difflr,emotion,f1,0.05260790059068647,38351,val
unified_difflr,political,f1,0.6917,76703,val
unified_difflr,epistemic,f1,0.610263335696901,76703,val
unified_difflr,emotion,f1,0.062210901218722886,76703,val
unified_difflr,political,f1,0.7151,115055,val
unified_difflr,epistemic,f1,0.582732024631824,115055,val
unified_difflr,emotion,f1,0.14963206614860558,115055,val
unified_difflr,political,f1,0.7017,153407,val
unified_difflr,epistemic,f1,0.598073882901006,153407,val
unified_difflr,emotion,f1,0.1669267314340572,153407,val
unified_difflr,political,f1,0.7006,191759,val
unified_difflr,epistemic,f1,0.5997452609804165,191759,val
unified_difflr,emotion,f1,0.1859817857988106,191759,val
unified_difflr,political,f1,0.7083,230111,val
unified_difflr,epistemic,f1,0.609618991311532,230111,val
unified_difflr,emotion,f1,0.21714114763374584,230111,val
unified_difflr,political,f1,0.7121,268463,val
unified_difflr,epistemic,f1,0.6153934730894605,268463,val
unified_difflr,emotion,f1,0.2617942472548143,268463,val
unified_difflr,political,f1,0.7078,306815,val
unified_difflr,epistemic,f1,0.6040403588184414,306815,val
unified_difflr,emotion,f1,0.30236875284928333,306815,val
unified_difflr,political,f1,0.7097,345167,val
unified_difflr,epistemic,f1,0.6045483837969982,345167,val
unified_difflr,emotion,f1,0.37610949227121054,345167,val
unified_difflr,political,f1,0.7064,383519,val
unified_difflr,epistemic,f1,0.6057826196540699,383519,val
unified_difflr,emotion,f1,0.4626263591050764,383519,val
unified_difflr,political,f1,0.7258,421871,val
unified_difflr,epistemic,f1,0.611304776183009,421871,val
unified_difflr,emotion,f1,0.5065259254329639,421871,val
unified_difflr,political,f1,0.7122,460223,val
unified_difflr,epistemic,f1,0.5996036969248649,460223,val
unified_difflr,emotion,f1,0.5488453582678213,460223,val
unified_difflr,political,f1,0.7133,498575,val
unified_difflr,epistemic,f1,0.5997814923432165,498575,val
unified_difflr,emotion,f1,0.5818995672047971,498575,val
unified_difflr,political,f1,0.7108,536927,val
unified_difflr,epistemic,f1,0.6155090154911795,536927,val
unified_difflr,emotion,f1,0.6076879123727639,536927,val
unified_difflr,political,f1,0.7132,575279,val
unified_difflr,epistemic,f1,0.602777865079506,575279,val
unified_difflr,emotion,f1,0.6260272018070093,575279,val
unified_difflr,political,f1,0.7116,613631,val
unified_difflr,epistemic,f1,0.6133383981750865,613631,val
unified_difflr,emotion,f1,0.6430227428661459,613631,val
unified_difflr,political,f1,0.717,651983,val
unified_difflr,epistemic,f1,0.6049831300877099,651983,val
unified_difflr,emotion,f1,0.656130822904969,651983,val
unified_difflr,political,f1,0.7121,690335,val
unified_difflr,epistemic,f1,0.6078519110796522,690335,val
unified_difflr,emotion,f1,0.6685700434812596,690335,val
unified_difflr,political,f1,0.7232,728687,val
unified_difflr,epistemic,f1,0.6047332492323284,728687,val
unified_difflr,emotion,f1,0.6799824629045991,728687,val
unified_difflr,political,f1,0.7112,767039,val
unified_difflr,epistemic,f1,0.6014778396096756,767039,val
unified_difflr,emotion,f1,0.685957827905455,767039,val
unified_difflr,political,f1,0.7174,805391,val
unified_difflr,epistemic,f1,0.5960921844758291,805391,val
unified_difflr,emotion,f1,0.6945517179790731,805391,val
unified_difflr,political,f1,0.7105,843743,val
unified_difflr,epistemic,f1,0.6030948164464439,843743,val
unified_difflr,emotion,f1,0.7033993972723984,843743,val
unified_difflr,political,f1,0.7204,882095,val
unified_difflr,epistemic,f1,0.6031117986627873,882095,val
unified_difflr,emotion,f1,0.7100196754327711,882095,val
unified_difflr,political,f1,0.7134,920447,val
unified_difflr,epistemic,f1,0.6052410000329864,920447,val
unified_difflr,emotion,f1,0.7100593832537748,920447,val
unified_difflr,political,f1,0.7231,958799,val
unified_difflr,epistemic,f1,0.6053751334904994,958799,val
unified_difflr,emotion,f1,0.7107021151062191,958799,val
unified_difflr,political,f1,0.7201,997151,val
unified_difflr,epistemic,f1,0.6098134200551798,997151,val
unified_difflr,emotion,f1,0.7166917184085927,997151,val
unified_difflr,political,f1,0.7167,1035503,val
unified_difflr,epistemic,f1,0.6114412047067538,1035503,val
unified_difflr,emotion,f1,0.7157370584861635,1035503,val
unified_difflr,political,f1,0.7184,1073855,val
unified_difflr,epistemic,f1,0.610560657058277,1073855,val
unified_difflr,emotion,f1,0.7186700844509397,1073855,val
unified_difflr,political,f1,0.7203,1112207,val
unified_difflr,epistemic,f1,0.6030520606657497,1112207,val
unified_difflr,emotion,f1,0.7200758840187097,1112207,val
unified_difflr,political,f1,0.7215,1150559,val
unified_difflr,epistemic,f1,0.6098869683775344,1150559,val
unified_difflr,emotion,f1,0.7215962557339535,1150559,val
unified_weights,political,f1,0.6664,38351,val
unified_weights,epistemic,f1,0.5370363203094383,38351,val
unified_weights,emotion,f1,0.050973916202856254,38351,val
unified_weights,political,f1,0.7043,76703,val
unified_weights,epistemic,f1,0.6169200810238835,76703,val
unified_weights,emotion,f1,0.12223347557679204,76703,val
unified_weights,political,f1,0.7035,115055,val
unified_weights,epistemic,f1,0.5976171736027835,115055,val
unified_weights,emotion,f1,0.1881821233796968,115055,val
unified_weights,political,f1,0.6969,153407,val
unified_weights,epistemic,f1,0.5967328705424565,153407,val
unified_weights,emotion,f1,0.2168181281208574,153407,val
unified_weights,political,f1,0.7,191759,val
unified_weights,epistemic,f1,0.6127598886405199,191759,val
unified_weights,emotion,f1,0.2554681868769292,191759,val
unified_weights,political,f1,0.7097,230111,val
unified_weights,epistemic,f1,0.6225806253259514,230111,val
unified_weights,emotion,f1,0.3593935081842501,230111,val
unified_weights,political,f1,0.7074,268463,val
unified_weights,epistemic,f1,0.6035434483224353,268463,val
unified_weights,emotion,f1,0.461297544114208,268463,val
unified_weights,political,f1,0.719,306815,val
unified_weights,epistemic,f1,0.6101589832983573,306815,val
unified_weights,emotion,f1,0.5280117292193803,306815,val
unified_weights,political,f1,0.7271,345167,val
unified_weights,epistemic,f1,0.599503254090013,345167,val
unified_weights,emotion,f1,0.5757559631537424,345167,val
unified_weights,political,f1,0.7162,383519,val
unified_weights,epistemic,f1,0.6028631688510895,383519,val
unified_weights,emotion,f1,0.616040849733837,383519,val
unified_weights,political,f1,0.7199,421871,val
unified_weights,epistemic,f1,0.6115904232814838,421871,val
unified_weights,emotion,f1,0.6395671312725072,421871,val
unified_weights,political,f1,0.7241,460223,val
unified_weights,epistemic,f1,0.6158343124372033,460223,val
unified_weights,emotion,f1,0.6603989511666601,460223,val
unified_weights,political,f1,0.7235,498575,val
unified_weights,epistemic,f1,0.6125028199110226,498575,val
unified_weights,emotion,f1,0.6848284948714227,498575,val
unified_weights,political,f1,0.7307,536927,val
unified_weights,epistemic,f1,0.6178612109518042,536927,val
unified_weights,emotion,f1,0.698343688879455,536927,val
unified_weights,political,f1,0.732,575279,val
unified_weights,epistemic,f1,0.6203028675316177,575279,val
unified_weights,emotion,f1,0.7053686085997503,575279,val
unified_weights,political,f1,0.7279,613631,val
unified_weights,epistemic,f1,0.6181295297174684,613631,val
unified_weights,emotion,f1,0.7129510648594416,613631,val
unified_weights,political,f1,0.7254,651983,val
unified_weights,epistemic,f1,0.6110887178115417,651983,val
unified_weights,emotion,f1,0.7150000251954011,651983,val
unified_weights,political,f1,0.728,690335,val
unified_weights,epistemic,f1,0.6196710515844593,690335,val
unified_weights,emotion,f1,0.7221244024810949,690335,val
unified_weights,political,f1,0.7292,728687,val
unified_weights,epistemic,f1,0.6163835843261155,728687,val
unified_weights,emotion,f1,0.7255602510498353,728687,val
unified_weights,political,f1,0.7268,767039,val
unified_weights,epistemic,f1,0.6154125792937091,767039,val
unified_weights,emotion,f1,0.7250294387451622,767039,val
unified_avgencoder,political,f1,0.7039,38351,val
unified_avgencoder,epistemic,f1,0.5084351681377973,38351,val
unified_avgencoder,emotion,f1,0.05587964271530515,38351,val
unified_avgencoder,political,f1,0.7095,76703,val
unified_avgencoder,epistemic,f1,0.5933188138732232,76703,val
unified_avgencoder,emotion,f1,0.07244195808443747,76703,val
unified_avgencoder,political,f1,0.6941,115055,val
unified_avgencoder,epistemic,f1,0.5835581579989756,115055,val
unified_avgencoder,emotion,f1,0.13680181567449862,115055,val
unified_avgencoder,political,f1,0.713,153407,val
unified_avgencoder,epistemic,f1,0.6009934301937875,153407,val
unified_avgencoder,emotion,f1,0.14782481705679384,153407,val
unified_avgencoder,political,f1,0.7072,191759,val
unified_avgencoder,epistemic,f1,0.5961844708328277,191759,val
unified_avgencoder,emotion,f1,0.22031592982951012,191759,val
unified_avgencoder,political,f1,0.7116,230111,val
unified_avgencoder,epistemic,f1,0.5931378723634456,230111,val
unified_avgencoder,emotion,f1,0.271780126018784,230111,val
unified_avgencoder,political,f1,0.7163,268463,val
unified_avgencoder,epistemic,f1,0.5927484926153208,268463,val
unified_avgencoder,emotion,f1,0.3930115273574613,268463,val
unified_avgencoder,political,f1,0.7231,306815,val
unified_avgencoder,epistemic,f1,0.6225057722716391,306815,val
unified_avgencoder,emotion,f1,0.45034197654723856,306815,val
unified_avgencoder,political,f1,0.7239,345167,val
unified_avgencoder,epistemic,f1,0.59859321063932,345167,val
unified_avgencoder,emotion,f1,0.5329387381946545,345167,val
unified_avgencoder,political,f1,0.7206,383519,val
unified_avgencoder,epistemic,f1,0.6085976061561875,383519,val
unified_avgencoder,emotion,f1,0.5757469645717488,383519,val
unified_avgencoder,political,f1,0.7232,421871,val
unified_avgencoder,epistemic,f1,0.6052281592905299,421871,val
unified_avgencoder,emotion,f1,0.6126347187190884,421871,val
unified_avgencoder,political,f1,0.7225,460223,val
unified_avgencoder,epistemic,f1,0.6064898535654356,460223,val
unified_avgencoder,emotion,f1,0.6344380585189289,460223,val
unified_avgencoder,political,f1,0.7154,498575,val
unified_avgencoder,epistemic,f1,0.6095128673880105,498575,val
unified_avgencoder,emotion,f1,0.655545894728993,498575,val
unified_avgencoder,political,f1,0.7204,536927,val
unified_avgencoder,epistemic,f1,0.6031632452403285,536927,val
unified_avgencoder,emotion,f1,0.6748846947101235,536927,val
unified_avgencoder,political,f1,0.7315,575279,val
unified_avgencoder,epistemic,f1,0.6107646294865852,575279,val
unified_avgencoder,emotion,f1,0.6867738999689847,575279,val
unified_avgencoder,political,f1,0.7243,613631,val
unified_avgencoder,epistemic,f1,0.5972783373988412,613631,val
unified_avgencoder,emotion,f1,0.6961603235527216,613631,val
unified_avgencoder,political,f1,0.7297,651983,val
unified_avgencoder,epistemic,f1,0.6071870102611284,651983,val
unified_avgencoder,emotion,f1,0.7018620652003685,651983,val
unified_avgencoder,political,f1,0.7312,690335,val
unified_avgencoder,epistemic,f1,0.600788646612138,690335,val
unified_avgencoder,emotion,f1,0.7073547236766894,690335,val
unified_avgencoder,political,f1,0.7286,728687,val
unified_avgencoder,epistemic,f1,0.60382612070087,728687,val
unified_avgencoder,emotion,f1,0.7154410804868493,728687,val
unified_avgencoder,political,f1,0.7316,767039,val
unified_avgencoder,epistemic,f1,0.6022863827272176,767039,val
unified_avgencoder,emotion,f1,0.7154741566992133,767039,val
unified_staged,political,f1,0.6875,38351,val
unified_staged,epistemic,f1,0.5002434469410861,38351,val
unified_staged,emotion,f1,0.04528610332438074,38351,val
unified_staged,political,f1,0.7078,76703,val
unified_staged,epistemic,f1,0.5906656863337564,76703,val
unified_staged,emotion,f1,0.09303990116836162,76703,val
unified_staged,political,f1,0.701,115055,val
unified_staged,epistemic,f1,0.6163791213190588,115055,val
unified_staged,emotion,f1,0.1404519158308653,115055,val
unified_staged,political,f1,0.7004,153407,val
unified_staged,epistemic,f1,0.6133554185189222,153407,val
unified_staged,emotion,f1,0.17819038017570918,153407,val
unified_staged,political,f1,0.7078,191759,val
unified_staged,epistemic,f1,0.6170846691350965,191759,val
unified_staged,emotion,f1,0.1931149665856216,191759,val
unified_staged,political,f1,0.7125,230111,val
unified_staged,epistemic,f1,0.610294570623119,230111,val
unified_staged,emotion,f1,0.2462341645854649,230111,val
unified_staged,political,f1,0.7097,268463,val
unified_staged,epistemic,f1,0.6099730141739006,268463,val
unified_staged,emotion,f1,0.34729122268107593,268463,val
unified_staged,political,f1,0.713,306815,val
unified_staged,epistemic,f1,0.6116188272972992,306815,val
unified_staged,emotion,f1,0.43290209174598027,306815,val
unified_staged,political,f1,0.7188,345167,val
unified_staged,epistemic,f1,0.6150848431829635,345167,val
unified_staged,emotion,f1,0.5308927747553958,345167,val
unified_staged,political,f1,0.72,383519,val
unified_staged,epistemic,f1,0.6134330083778238,383519,val
unified_staged,emotion,f1,0.582331537339468,383519,val
unified_staged,political,f1,0.7332,421871,val
unified_staged,epistemic,f1,0.6113570607450807,421871,val
unified_staged,emotion,f1,0.6147304243822832,421871,val
unified_staged,political,f1,0.7252,460223,val
unified_staged,epistemic,f1,0.6147021150821222,460223,val
unified_staged,emotion,f1,0.6388324604773143,460223,val
unified_staged,political,f1,0.7182,498575,val
unified_staged,epistemic,f1,0.6168432810847039,498575,val
unified_staged,emotion,f1,0.6601548729496879,498575,val
unified_staged,political,f1,0.7226,536927,val
unified_staged,epistemic,f1,0.6127506429240143,536927,val
unified_staged,emotion,f1,0.6788940685448784,536927,val
unified_staged,political,f1,0.7301,575279,val
unified_staged,epistemic,f1,0.6212858102318256,575279,val
unified_staged,emotion,f1,0.6908585105048796,575279,val
unified_staged,political,f1,0.7217,613631,val
unified_staged,epistemic,f1,0.6179433047520577,613631,val
unified_staged,emotion,f1,0.7032117800974249,613631,val
unified_staged,political,f1,0.726,651983,val
unified_staged,epistemic,f1,0.6200360032793215,651983,val
unified_staged,emotion,f1,0.7050912861360493,651983,val
unified_staged,political,f1,0.7246,690335,val
unified_staged,epistemic,f1,0.613676458849309,690335,val
unified_staged,emotion,f1,0.7134537037294577,690335,val
unified_staged,political,f1,0.7273,728687,val
unified_staged,epistemic,f1,0.6115106152879077,728687,val
unified_staged,emotion,f1,0.7152988881929363,728687,val
unified_staged,political,f1,0.728,767039,val
unified_staged,epistemic,f1,0.6147119739498078,767039,val
unified_staged,emotion,f1,0.7193803080279788,767039,val
unified_avgstaged,political,f1,0.7074,38351,val
unified_avgstaged,epistemic,f1,0.5143579491841181,38351,val
unified_avgstaged,emotion,f1,0.0461033704616185,38351,val
unified_avgstaged,political,f1,0.7134,76703,val
unified_avgstaged,epistemic,f1,0.585575269241916,76703,val
unified_avgstaged,emotion,f1,0.07779485032384843,76703,val
unified_avgstaged,political,f1,0.706,115055,val
unified_avgstaged,epistemic,f1,0.5876419615626665,115055,val
unified_avgstaged,emotion,f1,0.1289834218877415,115055,val
unified_avgstaged,political,f1,0.7133,153407,val
unified_avgstaged,epistemic,f1,0.5952733759443604,153407,val
unified_avgstaged,emotion,f1,0.1681659537597939,153407,val
unified_avgstaged,political,f1,0.7179,191759,val
unified_avgstaged,epistemic,f1,0.5834195688667897,191759,val
unified_avgstaged,emotion,f1,0.21736187208679256,191759,val
unified_avgstaged,political,f1,0.7108,230111,val
unified_avgstaged,epistemic,f1,0.6044402908174872,230111,val
unified_avgstaged,emotion,f1,0.3010330134644994,230111,val
unified_avgstaged,political,f1,0.7271,268463,val
unified_avgstaged,epistemic,f1,0.6032072391131339,268463,val
unified_avgstaged,emotion,f1,0.3875297555527352,268463,val
unified_avgstaged,political,f1,0.7097,306815,val
unified_avgstaged,epistemic,f1,0.5937628555592953,306815,val
unified_avgstaged,emotion,f1,0.454561042274444,306815,val
unified_avgstaged,political,f1,0.7191,345167,val
unified_avgstaged,epistemic,f1,0.598573155400299,345167,val
unified_avgstaged,emotion,f1,0.5198733658397295,345167,val
unified_avgstaged,political,f1,0.7178,383519,val
unified_avgstaged,epistemic,f1,0.6067323253723657,383519,val
unified_avgstaged,emotion,f1,0.568422879956253,383519,val
unified_avgstaged,political,f1,0.7283,421871,val
unified_avgstaged,epistemic,f1,0.6131824708115162,421871,val
unified_avgstaged,emotion,f1,0.6069593808645812,421871,val
